County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Plumas County(7),6063,***,47.8,37.6,60.7,18,2,55,17,falling,-4.3,-6.3,-2.2
San Joaquin County(7),6077,***,47.7,45.4,50,19,11,26,345,falling,-2.9,-3.5,-2.2
Calaveras County(7),6009,***,45.8,39.6,53.1,20,7,50,40,falling,-2.1,-3.2,-1
Inyo County(7),6027,***,45.8,35.6,58.6,21,3,55,14,falling,-3.7,-6.2,-1.2
Mendocino County(7),6045,***,45.6,40.4,51.5,22,9,46,60,falling,-3.2,-4.4,-1.9
Merced County(7),6047,***,45.3,41.5,49.4,23,11,41,106,falling,-4.8,-6.9,-2.7
Kern County(7),6029,***,44.4,42.3,46.6,24,16,35,335,falling,-3,-3.5,-2.5
Yolo County(7),6113,***,44.4,40.3,48.8,25,11,45,88,falling,-3,-4.4,-1.7
San Francisco County(7),6075,***,43.8,41.9,45.6,26,18,36,449,falling,-1.8,-2,-1.7
San Luis Obispo County(7),6079,***,43.3,40.4,46.3,27,17,43,173,falling,-2.4,-3.2,-1.6
Placer County(7),6061,***,42,39.5,44.6,28,20,45,225,falling,-2.8,-3.5,-2.1
Napa County(7),6055,***,41.9,37.9,46.3,29,15,51,82,falling,-4.9,-6.6,-3.1
Riverside County(7),6065,***,41.8,40.7,42.9,30,24,40,1078,falling,-2.8,-3.2,-2.4
El Dorado County(7),6017,***,41.6,38.2,45.3,31,18,49,116,falling,-8.7,-15.3,-1.6
Kings County(7),6031,***,41.6,36.5,47.1,32,13,53,51,falling,-2,-3.4,-0.6
San Diego County(7),6073,***,41.5,40.5,42.5,33,25,40,1446,falling,-3.2,-4.1,-2.4
Madera County(7),6039,***,41.3,36.9,46.1,34,16,53,67,falling,-2.6,-3.9,-1.3
Fresno County(7),6019,***,41.1,39.2,43,35,23,45,373,falling,-5.5,-7.3,-3.6
San Bernardino County(7),6071,***,41,39.7,42.3,36,26,43,787,falling,-3.1,-3.5,-2.8
Sonoma County(7),6097,***,40.8,38.6,43.1,37,23,48,280,falling,-2.9,-3.5,-2.3
Lassen County(7),6035,***,39.8,30.7,51,38,7,56,14,stable,-0.8,-3.8,2.3
Contra Costa County(7),6013,***,39.8,38.3,41.4,39,28,48,528,falling,-3.3,-4.4,-2.2
Mariposa County(7),6043,***,39.5,30.1,51.8,40,7,56,13,falling,-4.5,-6.2,-2.7
Ventura County(7),6111,***,39.3,37.5,41.1,41,28,49,383,falling,-2.4,-2.9,-2
Alameda County(7),6001,***,39.2,37.8,40.5,42,32,49,680,falling,-2.4,-2.7,-2.2
San Benito County(7),6069,***,39.1,32,47.1,43,12,56,23,stable,-1.5,-3.7,0.7
Orange County(7),6059,***,38.3,37.4,39.3,44,37,49,1344,falling,-2.5,-2.9,-2.1
San Mateo County(7),6081,***,38.3,36.5,40.1,45,33,52,354,falling,-2.1,-2.4,-1.9
Modoc County(7),6049,***,37.8,25.4,56,46,4,56,6,stable,-3,-6.3,0.4
Santa Barbara County(7),6083,***,37.8,35.4,40.3,47,32,54,191,falling,-2.3,-2.7,-1.8
Nevada County(7),6057,***,37.3,33.2,41.9,48,23,55,66,falling,-3.6,-4.5,-2.7
Santa Clara County(7),6085,***,36.9,35.7,38.2,49,40,53,737,falling,-1.9,-2.3,-1.4
Tulare County(7),6107,***,36.4,33.8,39.2,50,35,55,148,falling,-5.9,-8.3,-3.5
Los Angeles County(7),6037,***,35.7,35.2,36.3,51,46,54,3738,falling,-2.7,-4.6,-0.8
Santa Cruz County(7),6087,***,35.5,32.5,38.7,52,37,56,113,falling,-3,-4.1,-1.9
Monterey County(7),6053,***,34.9,32.4,37.5,53,41,56,153,falling,-3.1,-3.7,-2.5
Imperial County(7),6025,***,33.8,30.1,38,54,38,56,59,falling,-2.8,-4,-1.6
Marin County(7),6041,***,33,30.5,35.6,55,47,56,135,falling,-2.1,-2.6,-1.6
Mono County(7),6051,***,25,14.8,39.7,56,24,56,4,stable,-3.4,-7.5,0.8
Alpine County(7),6003,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Sierra County(7),6091,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
